batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
64,8,2,16,2,FAIL(1)
64,8,2,8,4,FAIL(1)
64,8,2,4,8,FAIL(1)
64,8,2,2,16,FAIL(1)
64,8,2,1,32,FAIL(1)
64,16,64,1,1,#MB < PP(1F1B DEADLOCK)
64,16,32,2,1,#MB < PP(1F1B DEADLOCK)
64,16,32,1,2,#MB < PP(1F1B DEADLOCK)
64,16,16,4,1,#MB < PP(1F1B DEADLOCK)
64,16,16,2,2,#MB < PP(1F1B DEADLOCK)
64,16,16,1,4,#MB < PP(1F1B DEADLOCK)
64,16,8,8,1,#MB < PP(1F1B DEADLOCK)
64,16,8,4,2,#MB < PP(1F1B DEADLOCK)
64,16,8,2,4,#MB < PP(1F1B DEADLOCK)
64,16,8,1,8,OOM ERROR
64,16,4,16,1,OOM ERROR
64,16,4,8,2,FAIL(1)
64,16,4,4,4,OOM ERROR
64,16,4,2,8,FAIL(1)
64,16,4,1,16,OOM ERROR
64,16,2,32,1,OOM ERROR
64,16,2,16,2,OOM ERROR
64,16,2,8,4,OOM ERROR
64,16,2,4,8,OOM ERROR
64,16,2,2,16,OOM ERROR
64,16,2,1,32,OOM ERROR
64,32,64,1,1,#MB < PP(1F1B DEADLOCK)
64,32,32,2,1,#MB < PP(1F1B DEADLOCK)
64,32,32,1,2,#MB < PP(1F1B DEADLOCK)
64,32,16,4,1,#MB < PP(1F1B DEADLOCK)
64,32,16,2,2,#MB < PP(1F1B DEADLOCK)
64,32,16,1,4,#MB < PP(1F1B DEADLOCK)
64,32,8,8,1,#MB < PP(1F1B DEADLOCK)
64,32,8,4,2,#MB < PP(1F1B DEADLOCK)
64,32,8,2,4,#MB < PP(1F1B DEADLOCK)
64,32,8,1,8,OOM ERROR
64,32,4,16,1,OOM ERROR
64,32,4,8,2,OOM ERROR
64,32,4,4,4,FAIL(1)
64,32,4,2,8,FAIL(1)
64,32,4,1,16,FAIL(1)
64,32,2,32,1,OOM ERROR
64,32,2,16,2,OOM ERROR
64,32,2,8,4,FAIL(1)
64,32,2,4,8,FAIL(1)
64,32,2,2,16,FAIL(1)
64,32,2,1,32,FAIL(1)
32,1,64,1,1,#MB < PP(1F1B DEADLOCK)
32,1,32,2,1,OOM ERROR
32,1,32,1,2,TIMEOUT
32,1,16,4,1,OOM ERROR
32,1,16,2,2,TIMEOUT
32,1,16,1,4,OOM ERROR
32,1,8,8,1,FAIL(1)
32,1,8,4,2,TIMEOUT
32,1,8,2,4,OOM ERROR
32,1,8,1,8,OOM ERROR
32,1,4,16,1,OOM ERROR
32,1,4,8,2,FAIL(1)
32,1,4,4,4,OOM ERROR
32,1,4,2,8,OOM ERROR
32,1,4,1,16,FAIL(1)
32,1,2,32,1,OOM ERROR
32,1,2,16,2,FAIL(1)
32,1,2,8,4,OOM ERROR
32,1,2,4,8,OOM ERROR
32,1,2,2,16,FAIL(1)
32,1,2,1,32,OOM ERROR
32,4,64,1,1,#MB < PP(1F1B DEADLOCK)
32,4,32,2,1,#MB < PP(1F1B DEADLOCK)
32,4,32,1,2,#MB < PP(1F1B DEADLOCK)
32,4,16,4,1,#MB < PP(1F1B DEADLOCK)
32,4,16,2,2,#MB < PP(1F1B DEADLOCK)
32,4,16,1,4,#MB < PP(1F1B DEADLOCK)
32,4,8,8,1,OOM ERROR
32,4,8,4,2,OOM ERROR
32,4,8,2,4,OOM ERROR
32,4,8,1,8,OOM ERROR
32,4,4,16,1,OOM ERROR
32,4,4,8,2,FAIL(1)
32,4,4,4,4,OOM ERROR
32,4,4,2,8,FAIL(1)
32,4,4,1,16,FAIL(1)
32,4,2,32,1,OOM ERROR
32,4,2,16,2,OOM ERROR
32,4,2,8,4,OOM ERROR
32,4,2,4,8,OOM ERROR
32,4,2,2,16,OOM ERROR
32,4,2,1,32,FAIL(1)
32,8,64,1,1,#MB < PP(1F1B DEADLOCK)
32,8,32,2,1,#MB < PP(1F1B DEADLOCK)
32,8,32,1,2,#MB < PP(1F1B DEADLOCK)
32,8,16,4,1,#MB < PP(1F1B DEADLOCK)
32,8,16,2,2,#MB < PP(1F1B DEADLOCK)
32,8,16,1,4,#MB < PP(1F1B DEADLOCK)
32,8,8,8,1,#MB < PP(1F1B DEADLOCK)
32,8,8,4,2,#MB < PP(1F1B DEADLOCK)
32,8,8,2,4,#MB < PP(1F1B DEADLOCK)
32,8,8,1,8,OOM ERROR
32,8,4,16,1,OOM ERROR
32,8,4,8,2,OOM ERROR
32,8,4,4,4,OOM ERROR
32,8,4,2,8,OOM ERROR
32,8,4,1,16,OOM ERROR
32,8,2,32,1,OOM ERROR
32,8,2,16,2,OOM ERROR
32,8,2,8,4,OOM ERROR
32,8,2,4,8,FAIL(1)
32,8,2,2,16,OOM ERROR
32,8,2,1,32,OOM ERROR
32,16,64,1,1,#MB < PP(1F1B DEADLOCK)
32,16,32,2,1,#MB < PP(1F1B DEADLOCK)
32,16,32,1,2,#MB < PP(1F1B DEADLOCK)
32,16,16,4,1,#MB < PP(1F1B DEADLOCK)
32,16,16,2,2,#MB < PP(1F1B DEADLOCK)
32,16,16,1,4,#MB < PP(1F1B DEADLOCK)
32,16,8,8,1,#MB < PP(1F1B DEADLOCK)
32,16,8,4,2,#MB < PP(1F1B DEADLOCK)
32,16,8,2,4,#MB < PP(1F1B DEADLOCK)
32,16,8,1,8,OOM ERROR
32,16,4,16,1,OOM ERROR
32,16,4,8,2,OOM ERROR
32,16,4,4,4,FAIL(1)
32,16,4,2,8,OOM ERROR
32,16,4,1,16,FAIL(1)
32,16,2,32,1,FAIL(1)
32,16,2,16,2,FAIL(1)
32,16,2,8,4,FAIL(1)
32,16,2,4,8,FAIL(1)
32,16,2,2,16,OOM ERROR
32,16,2,1,32,OOM ERROR
16,1,64,1,1,#MB < PP(1F1B DEADLOCK)
16,1,32,2,1,#MB < PP(1F1B DEADLOCK)
16,1,32,1,2,#MB < PP(1F1B DEADLOCK)
16,1,16,4,1,FAIL(1)
16,1,16,2,2,OOM ERROR
16,1,16,1,4,OOM ERROR
16,1,8,8,1,OOM ERROR
16,1,8,4,2,OOM ERROR
16,1,8,2,4,FAIL(1)
16,1,8,1,8,OOM ERROR
16,1,4,16,1,OOM ERROR
16,1,4,8,2,OOM ERROR
16,1,4,4,4,OOM ERROR
16,1,4,2,8,OOM ERROR
16,1,4,1,16,OOM ERROR
16,1,2,32,1,OOM ERROR
16,1,2,16,2,FAIL(1)
16,1,2,8,4,OOM ERROR
16,1,2,4,8,OOM ERROR
16,1,2,2,16,OOM ERROR
16,1,2,1,32,FAIL(1)
16,4,64,1,1,#MB < PP(1F1B DEADLOCK)
16,4,32,2,1,#MB < PP(1F1B DEADLOCK)
16,4,32,1,2,#MB < PP(1F1B DEADLOCK)
16,4,16,4,1,#MB < PP(1F1B DEADLOCK)
16,4,16,2,2,#MB < PP(1F1B DEADLOCK)
16,4,16,1,4,#MB < PP(1F1B DEADLOCK)
16,4,8,8,1,#MB < PP(1F1B DEADLOCK)
16,4,8,4,2,#MB < PP(1F1B DEADLOCK)
16,4,8,2,4,#MB < PP(1F1B DEADLOCK)
16,4,8,1,8,OOM ERROR
16,4,4,16,1,OOM ERROR
16,4,4,8,2,OOM ERROR
16,4,4,4,4,FAIL(1)
16,4,4,2,8,OOM ERROR
16,4,4,1,16,OOM ERROR
16,4,2,32,1,OOM ERROR
16,4,2,16,2,FAIL(1)
16,4,2,8,4,OOM ERROR
16,4,2,4,8,FAIL(1)
16,4,2,2,16,OOM ERROR
16,4,2,1,32,FAIL(1)
16,8,64,1,1,#MB < PP(1F1B DEADLOCK)
16,8,32,2,1,#MB < PP(1F1B DEADLOCK)
16,8,32,1,2,#MB < PP(1F1B DEADLOCK)
16,8,16,4,1,#MB < PP(1F1B DEADLOCK)
16,8,16,2,2,#MB < PP(1F1B DEADLOCK)
16,8,16,1,4,#MB < PP(1F1B DEADLOCK)
16,8,8,8,1,#MB < PP(1F1B DEADLOCK)
16,8,8,4,2,#MB < PP(1F1B DEADLOCK)
16,8,8,2,4,#MB < PP(1F1B DEADLOCK)
16,8,8,1,8,OOM ERROR
16,8,4,16,1,OOM ERROR
16,8,4,8,2,OOM ERROR
16,8,4,4,4,OOM ERROR
16,8,4,2,8,FAIL(1)
16,8,4,1,16,FAIL(1)
16,8,2,32,1,FAIL(1)
16,8,2,16,2,FAIL(1)
16,8,2,8,4,OOM ERROR
16,8,2,4,8,OOM ERROR
16,8,2,2,16,FAIL(1)
16,8,2,1,32,FAIL(1)
