batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
4096,4,64,1,1,FAIL(1)
4096,4,32,2,1,FAIL(1)
4096,4,32,1,2,FAIL(1)
4096,4,16,4,1,FAIL(1)
4096,4,16,2,2,FAIL(1)
4096,4,16,1,4,FAIL(1)
4096,4,8,8,1,FAIL(1)
4096,4,8,4,2,FAIL(1)
4096,4,8,2,4,FAIL(1)
4096,4,8,1,8,FAIL(1)
4096,4,4,16,1,FAIL(1)
4096,4,4,8,2,FAIL(1)
4096,4,4,4,4,FAIL(1)
4096,4,4,2,8,FAIL(1)
4096,4,4,1,16,FAIL(1)
4096,4,2,32,1,FAIL(1)
4096,4,2,16,2,FAIL(1)
4096,4,2,8,4,FAIL(1)
4096,4,2,4,8,FAIL(1)
4096,4,2,2,16,FAIL(1)
4096,4,2,1,32,FAIL(1)
4096,8,64,1,1,FAIL(1)
4096,8,32,2,1,FAIL(1)
4096,8,32,1,2,FAIL(1)
4096,8,16,4,1,FAIL(1)
4096,8,16,2,2,FAIL(1)
4096,8,16,1,4,FAIL(1)
4096,8,8,8,1,FAIL(1)
4096,8,8,4,2,FAIL(1)
4096,8,8,2,4,FAIL(1)
4096,8,8,1,8,FAIL(1)
4096,8,4,16,1,FAIL(1)
4096,8,4,8,2,FAIL(1)
4096,8,4,4,4,FAIL(1)
4096,8,4,2,8,FAIL(1)
4096,8,4,1,16,FAIL(1)
4096,8,2,32,1,FAIL(1)
4096,8,2,16,2,FAIL(1)
4096,8,2,8,4,FAIL(1)
4096,8,2,4,8,FAIL(1)
4096,8,2,2,16,FAIL(1)
4096,8,2,1,32,FAIL(1)
4096,16,64,1,1,FAIL(1)
4096,16,32,2,1,FAIL(1)
4096,16,32,1,2,FAIL(1)
4096,16,16,4,1,FAIL(1)
4096,16,16,2,2,FAIL(1)
4096,16,16,1,4,FAIL(1)
4096,16,8,8,1,FAIL(1)
4096,16,8,4,2,FAIL(1)
4096,16,8,2,4,FAIL(1)
4096,16,8,1,8,FAIL(1)
4096,16,4,16,1,FAIL(1)
4096,16,4,8,2,FAIL(1)
4096,16,4,4,4,FAIL(1)
4096,16,4,2,8,FAIL(1)
4096,16,4,1,16,FAIL(1)
4096,16,2,32,1,FAIL(1)
4096,16,2,16,2,FAIL(1)
4096,16,2,8,4,FAIL(1)
4096,16,2,4,8,FAIL(1)
4096,16,2,2,16,FAIL(1)
4096,16,2,1,32,FAIL(1)
4096,32,64,1,1,FAIL(1)
